dataset,model,representation,classifier,n_cells,n_cells_before_shared_input_qc,n_zero_input_excluded,n_train_cells,n_test_cells,n_classes,n_matched_hvgs,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
Indonesia_PBMC,Matched HVGs plus XGBoost,matched_hvgs,xgboost,462034,462034,0,369627,92407,13,1135,32.54169702529907,0.9551098056680792,0.9518542967524104,0.9527699479485492,0.0041108765859007,0.0047781017838337,0.0009887003711337,0.0703799714289269,0.1237073666191756
Brain_Atlas,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,75580,75583,3,60464,15116,10,939,4.686757564544678,0.8705202403137854,0.9840566287377612,0.8117413944988524,0.0252047185493601,0.0251296758615541,0.0055158476798795,0.0292893985115601,0.0824963188236725
Brain_Atlas,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,75580,75583,3,60464,15116,10,939,17.817837476730347,0.892835516747648,0.985512040222281,0.8345528671845639,0.0261464670631797,0.0270726380042754,0.0056475919044612,0.0285828062950587,0.092317478083742
Brain_Atlas,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,75580,75583,3,60464,15116,10,939,4.857772588729858,0.9313820521431164,0.9880259327864516,0.8948334521354153,0.0077652216469675,0.0077706715287624,0.0017632743011308,0.0208945501612113,0.0596977348857052
Brain_Atlas,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,75580,75583,3,60464,15116,10,939,8.2281653881073,0.9452661897810845,0.9845197142101084,0.9368820921226446,0.0076316166131393,0.0075943682495232,0.00222801349944,0.0251002962818628,0.0687445473624575
Brain_Atlas,Matched HVGs plus Random Forest,matched_hvgs,random_forest,75580,75583,3,60464,15116,10,939,8.160891056060791,0.8311866838904882,0.9836596983328924,0.7751601874364233,0.0295600684292847,0.0298246886955987,0.0072779835230426,0.0293692775582667,0.0836627577662725
Brain_Atlas,Matched HVGs plus XGBoost,matched_hvgs,xgboost,75580,75583,3,60464,15116,10,939,5.374584674835205,0.9519675426251388,0.9884228631913204,0.923859682318226,0.0047544882973685,0.0047633570287331,0.0011467459681359,0.0187487992034875,0.0425875971287495
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,390582,391963,1381,312461,78121,11,1067,72.24438548088074,0.3213345572874949,0.4927868306857311,0.3061789631504102,0.0158017293824396,0.0167456175922016,0.0056988611241028,0.6669662693115688,1.5002654416457686
Multi_Tissue_TME,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,390582,391963,1381,312461,78121,11,1067,75.8279480934143,0.3335365517322727,0.5000192009830904,0.3058874496279132,0.0556533571870396,0.055348902283784,0.0118338325427109,0.6600740648192865,1.56789858901974
Multi_Tissue_TME,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,390582,391963,1381,312461,78121,11,1067,15.504524230957031,0.3652759716721773,0.5058819011533391,0.3364495430093907,0.0097987175816731,0.0100680302286003,0.0038711749107834,0.6436664608539548,1.442258917350851
Multi_Tissue_TME,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,390582,391963,1381,312461,78121,11,1067,169.54865312576294,0.3574331272656875,0.5005824298204068,0.3299223153311925,0.0123340610218341,0.013447175560047,0.0065814522649179,0.6551708077672913,1.462675320186414
Multi_Tissue_TME,Matched HVGs plus Random Forest,matched_hvgs,random_forest,390582,391963,1381,312461,78121,11,1067,205.9584698677063,0.3906059445458844,0.534145748262311,0.3592164250767001,0.0241347585143267,0.0240819871715602,0.007281484554385,0.6151502584211003,1.513807072159722
Multi_Tissue_TME,Matched HVGs plus XGBoost,matched_hvgs,xgboost,390582,391963,1381,312461,78121,11,1067,16.024489879608154,0.4161540361668163,0.5322768525748518,0.3793807072717159,0.0227401650872278,0.0230294298797178,0.0067399494950714,0.6137291727778519,1.368327402618161
Human_Pancreas,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,26474,26474,0,21179,5295,4,1149,1.1209368705749512,0.7222394211675726,0.9773371104815864,0.7127236742310878,0.0503403825360583,0.050121355316506,0.0281606225848557,0.0441222476878514,0.1101566370729886
Human_Pancreas,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,26474,26474,0,21179,5295,4,1149,3.807337522506714,0.7434993137066171,0.9786591123701606,0.7303198575999268,0.045394711889882,0.0453947118898821,0.0238517468379409,0.0429947874665056,0.0992539363819853
