dataset,model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_wilson_low,accuracy_wilson_high
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,8,0.7,0.8,6113,0.7531731894689828,0.7922460330443317,0.7818939274818267,0.8022310697171134
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,9,0.8,0.9,11370,0.8566086430505586,0.8989445910290238,0.8932690911883583,0.9043506077361807
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,10,0.9,1.0,65095,0.972408805813545,0.9867117290114448,0.9858029281773144,0.9875630884834048
Indonesia_PBMC,scGPT embeddings plus Random Forest,1,0.0,0.1,0,,,,
Indonesia_PBMC,scGPT embeddings plus Random Forest,2,0.1,0.2,0,,,,
Indonesia_PBMC,scGPT embeddings plus Random Forest,3,0.2,0.3,96,0.27083332976326346,0.3125,0.22850954637750145,0.410918799069127
Indonesia_PBMC,scGPT embeddings plus Random Forest,4,0.3,0.4,911,0.36222283242824443,0.4643249176728869,0.4321569362628399,0.4967925015077326
Indonesia_PBMC,scGPT embeddings plus Random Forest,5,0.4,0.5,3540,0.45744915389913626,0.5658192090395481,0.549429023675775,0.5820667007845043
Indonesia_PBMC,scGPT embeddings plus Random Forest,6,0.5,0.6,7593,0.5477624093137615,0.6679836691689715,0.6573084277964983,0.6784890235295437
Indonesia_PBMC,scGPT embeddings plus Random Forest,7,0.6,0.7,9011,0.6515142617592363,0.8005770724669848,0.7921998137045662,0.8086981637856162
Indonesia_PBMC,scGPT embeddings plus Random Forest,8,0.7,0.8,10575,0.7521990545703446,0.8946572104018913,0.8886620920843115,0.9003657076508126
Indonesia_PBMC,scGPT embeddings plus Random Forest,9,0.8,0.9,16828,0.8544093153915638,0.9499049203708105,0.9465051521596898,0.9530993288500137
Indonesia_PBMC,scGPT embeddings plus Random Forest,10,0.9,1.0,43853,0.9697117680299377,0.9916995416505142,0.9908062589123355,0.9925066876091814
Indonesia_PBMC,scGPT embeddings plus XGBoost,1,0.0,0.1,0,,,,
Indonesia_PBMC,scGPT embeddings plus XGBoost,2,0.1,0.2,0,,,,
Indonesia_PBMC,scGPT embeddings plus XGBoost,3,0.2,0.3,2,0.2976568937301636,0.0,0.0,0.6576197724933469
Indonesia_PBMC,scGPT embeddings plus XGBoost,4,0.3,0.4,66,0.3715654738021619,0.3484848484848485,0.2447587406192953,0.4688783978696565
Indonesia_PBMC,scGPT embeddings plus XGBoost,5,0.4,0.5,523,0.46530918734251425,0.48565965583174,0.4430865452343133,0.5284418913591608
Indonesia_PBMC,scGPT embeddings plus XGBoost,6,0.5,0.6,3162,0.5502106055362853,0.538899430740038,0.5214879488096535,0.5562165108734405
Indonesia_PBMC,scGPT embeddings plus XGBoost,7,0.6,0.7,3545,0.6509804584916119,0.6242595204513399,0.6081902068592062,0.640059823530363
Indonesia_PBMC,scGPT embeddings plus XGBoost,8,0.7,0.8,4590,0.7528242252880711,0.7372549019607844,0.7243276599406734,0.7497853497318729
Indonesia_PBMC,scGPT embeddings plus XGBoost,9,0.8,0.9,8220,0.8559273814632945,0.84330900243309,0.8352905562604418,0.8510067207798861
Indonesia_PBMC,scGPT embeddings plus XGBoost,10,0.9,1.0,72299,0.9803912706618424,0.980815778918104,0.9797900536860843,0.9817904125476974
Indonesia_PBMC,Matched HVGs plus Logistic Regression,1,0.0,0.1,0,,,,
Indonesia_PBMC,Matched HVGs plus Logistic Regression,2,0.1,0.2,0,,,,
Indonesia_PBMC,Matched HVGs plus Logistic Regression,3,0.2,0.3,0,,,,
Indonesia_PBMC,Matched HVGs plus Logistic Regression,4,0.3,0.4,12,0.38535548001527786,0.3333333333333333,0.13812009109121315,0.6093779111272004
Indonesia_PBMC,Matched HVGs plus Logistic Regression,5,0.4,0.5,150,0.46610718925793965,0.42,0.3439800445299174,0.5000151945689748
Indonesia_PBMC,Matched HVGs plus Logistic Regression,6,0.5,0.6,1936,0.5510161589554026,0.5625,0.5403001448908381,0.584452318203296
Indonesia_PBMC,Matched HVGs plus Logistic Regression,7,0.6,0.7,1969,0.6516546607017517,0.6246825799898426,0.6030720371328484,0.6458075663470506
Indonesia_PBMC,Matched HVGs plus Logistic Regression,8,0.7,0.8,2506,0.7528433755741819,0.7130885873902634,0.6950636213032765,0.7304612644406318
Indonesia_PBMC,Matched HVGs plus Logistic Regression,9,0.8,0.9,4393,0.8560763768853453,0.8188026405645344,0.8071354331370854,0.8299127811852193
Indonesia_PBMC,Matched HVGs plus Logistic Regression,10,0.9,1.0,81441,0.9910989688028894,0.985535541066539,0.9846923398433208,0.9863329403763742
Indonesia_PBMC,Matched HVGs plus Random Forest,1,0.0,0.1,0,,,,
Indonesia_PBMC,Matched HVGs plus Random Forest,2,0.1,0.2,1,0.1850000023841858,1.0,0.20654931437723745,1.0
Indonesia_PBMC,Matched HVGs plus Random Forest,3,0.2,0.3,45,0.26744444105360243,0.4444444444444444,0.30938930034997586,0.5882386550647896
Indonesia_PBMC,Matched HVGs plus Random Forest,4,0.3,0.4,480,0.36269791685044767,0.49166666666666664,0.4471870347987442,0.536278623519377
Indonesia_PBMC,Matched HVGs plus Random Forest,5,0.4,0.5,2232,0.4617988370011784,0.5810931899641577,0.5605026392429417,0.6014050839419296
Indonesia_PBMC,Matched HVGs plus Random Forest,6,0.5,0.6,6628,0.5480039189235231,0.6849728424864212,0.6736851872888606,0.6960462086175828
Indonesia_PBMC,Matched HVGs plus Random Forest,7,0.6,0.7,8686,0.6526991726203144,0.869445084043288,0.8621961884805158,0.8763673434795933
Indonesia_PBMC,Matched HVGs plus Random Forest,8,0.7,0.8,11019,0.7527366368672583,0.9571648969960976,0.9532221946282751,0.96078895554914
Indonesia_PBMC,Matched HVGs plus Random Forest,9,0.8,0.9,19846,0.8552846898928557,0.9893681346367026,0.987843521832479,0.9907033366044449
Indonesia_PBMC,Matched HVGs plus Random Forest,10,0.9,1.0,43470,0.9617941152550364,0.9988957902001381,0.9985364186821605,0.9991669943250553
Indonesia_PBMC,Matched HVGs plus XGBoost,1,0.0,0.1,0,,,,
Indonesia_PBMC,Matched HVGs plus XGBoost,2,0.1,0.2,0,,,,
Indonesia_PBMC,Matched HVGs plus XGBoost,3,0.2,0.3,0,,,,
Indonesia_PBMC,Matched HVGs plus XGBoost,4,0.3,0.4,36,0.3733908649947908,0.3611111111111111,0.22475592946515371,0.5242492451444196
Indonesia_PBMC,Matched HVGs plus XGBoost,5,0.4,0.5,246,0.4673270902982572,0.45528455284552843,0.3942175153683261,0.5177266427235904
Indonesia_PBMC,Matched HVGs plus XGBoost,6,0.5,0.6,2156,0.5511333744744865,0.5477736549165121,0.5266983580626715,0.5686790128821751
Indonesia_PBMC,Matched HVGs plus XGBoost,7,0.6,0.7,2350,0.6524363249920784,0.6251063829787235,0.6053446736582114,0.6444597461749731
