model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_ci_low,accuracy_ci_high
Matched HVGs plus Logistic Regression,4,0.3,0.4,83,0.3726613693926708,0.3253012048192771,0.22784810126582278,0.42391304347826086
Matched HVGs plus Logistic Regression,5,0.4,0.5,737,0.4678034542211846,0.4843962008141113,0.4504501221337956,0.5190962613906229
Matched HVGs plus Logistic Regression,6,0.5,0.6,9086,0.5502017319281144,0.5330178296279992,0.524127265155185,0.5421379601418275
Matched HVGs plus Logistic Regression,7,0.6,0.7,10172,0.6514098922884282,0.6211167911915061,0.6100665472364221,0.6323666579214507
Matched HVGs plus Logistic Regression,8,0.7,0.8,12846,0.7529118802713379,0.7122839794488557,0.7043481036006694,0.7204928086685851
Matched HVGs plus Logistic Regression,9,0.8,0.9,21709,0.8560442703641913,0.8182320696485329,0.8120945153405166,0.8241680561704904
Matched HVGs plus Logistic Regression,10,0.9,1.0,407400,0.9910424497315389,0.9855989199803633,0.9847278906096183,0.9864542635635428
Matched HVGs plus Random Forest,1,0.0,0.1,0,,,,
Matched HVGs plus Random Forest,2,0.1,0.2,2,0.1875,1.0,1.0,1.0
Matched HVGs plus Random Forest,3,0.2,0.3,289,0.26761245340830725,0.40484429065743943,0.3348003621294706,0.464569856277259
Matched HVGs plus Random Forest,4,0.3,0.4,2338,0.3619589394004657,0.5111206159110351,0.48811772115716984,0.533015550097174
Matched HVGs plus Random Forest,5,0.4,0.5,11644,0.4621985592216775,0.5913775334936447,0.5805795548886321,0.6018961773933755
Matched HVGs plus Random Forest,6,0.5,0.6,33787,0.5483101453154368,0.6964217006540977,0.689439452934197,0.703864047461249
Matched HVGs plus Random Forest,7,0.6,0.7,43219,0.6528403030187336,0.8720932923019968,0.8665006957850618,0.8777086146813555
Matched HVGs plus Random Forest,8,0.7,0.8,55614,0.7529755099698487,0.9551911389218543,0.9526500649587686,0.9577510473430763
Matched HVGs plus Random Forest,9,0.8,0.9,98819,0.8549294645664759,0.9886762667098432,0.987707832707486,0.9896049306782286
Matched HVGs plus Random Forest,10,0.9,1.0,216322,0.9617601120116291,0.9986871423156221,0.9985103317621628,0.9988569756578429
Matched HVGs plus XGBoost,1,0.0,0.1,0,,,,
Matched HVGs plus XGBoost,2,0.1,0.2,0,,,,
Matched HVGs plus XGBoost,3,0.2,0.3,2,0.2687642127275467,0.5,0.0,1.0
Matched HVGs plus XGBoost,4,0.3,0.4,178,0.372835183244073,0.3146067415730337,0.24,0.3865054392511542
Matched HVGs plus XGBoost,5,0.4,0.5,1247,0.46813501531158147,0.45549318364073776,0.4291734311233935,0.4818328720665945
Matched HVGs plus XGBoost,6,0.5,0.6,10791,0.5502565385192597,0.5386896487813919,0.5298585715912514,0.5476872646833529
Matched HVGs plus XGBoost,7,0.6,0.7,11669,0.6515559514411281,0.6349301568257777,0.6256075895309007,0.6442906186560309
Matched HVGs plus XGBoost,8,0.7,0.8,15421,0.7529829859996412,0.7319239997406134,0.7243271266319701,0.7394893112333478
Matched HVGs plus XGBoost,9,0.8,0.9,25808,0.8566845459291932,0.8426456912585245,0.8374713435563533,0.8479519736951494
Matched HVGs plus XGBoost,10,0.9,1.0,396918,0.9873505210529154,0.9895973475629727,0.9889737280541211,0.9902114896609737
