fold,labels_per_class,representation,classifier,model,macro_f1,macro_f1_seed_sd,ece_equal_width_10,multiclass_brier,negative_log_likelihood
2,50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7710812364251114,0.006070748438730963,0.48948821505094714,0.619089471984015,1.3883302650520322
2,50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7649523921360194,0.012157506971831038,0.053927654101535084,0.30048249852925657,0.6220818846089764
2,100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.910413446426188,0.00464128752631566,0.03033229667848892,0.14993589544928257,0.29776464522834023
2,100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8707845037414741,0.009062249182039883,0.02479770756498706,0.16904607606287497,0.3365568353827678
2,100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8028687676648587,0.007452597130828814,0.424655011052163,0.5048359048220297,1.0983581189626996
2,100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7992022185478251,0.007913277689361063,0.054599757098707936,0.2631243888333868,0.5337116146118854
2,250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9124764088725144,0.0037844396068016416,0.04411587853061168,0.14375103848955653,0.314411928473052
2,250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.893993898888185,0.004689588292863575,0.026835082513193297,0.13832474662172087,0.2700505869197165
2,250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8354775603678283,0.004138181072890031,0.3225411461579216,0.37279338236458487,0.7963553364521093
2,250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8367384092191912,0.004909915056602163,0.05545220190473112,0.22242708490791802,0.4499268756250368
2,500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9127700893566193,0.002171156631620638,0.05024431138083866,0.14028270266341433,0.3390928928544286
2,500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9108778593953023,0.003959821012235403,0.02732629450218236,0.12078136832689852,0.23764109090938074
2,500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8532985915072873,0.0013659431153376506,0.24659074278689236,0.29926787321137177,0.6323619374614743
2,500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.860775150003537,0.00396653629599576,0.05258284743498446,0.19856912164561888,0.39762125288038797
3,10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8615581288224841,0.02056239137911818,0.06737722126137398,0.2518589122752194,0.487738230164579
3,10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6736266225945026,0.04815288093020797,0.07177608893909197,0.43623060992030843,0.9812513215047041
3,10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7015313672153605,0.014544010223401568,0.573361483644286,0.8314587611882678,2.0921727736044238
3,10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.6537617568974504,0.030272540408693985,0.054876951810968,0.43371454718489766,0.9939872190962815
3,25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8923215388025746,0.004947248624826762,0.0121660307174706,0.19154093639309938,0.3627569912522187
3,25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.778062803245682,0.02023380731011185,0.02380065278368532,0.27249224588650733,0.5666087848252772
3,25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.748193743213536,0.020987325370120883,0.5239035491371257,0.7273789979717314,1.710561777612364
3,25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7516238863590446,0.017528594280772993,0.047063880847557596,0.3345602207206822,0.7160400734588868
3,50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.911843999831048,0.003594092348026785,0.0133996873997727,0.1525586867633683,0.2895876434940052
3,50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8461652123407617,0.011102246906285694,0.01830371509078892,0.1923550036793316,0.38932354963688065
3,50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7903473974812176,0.01221148905227428,0.4931732299626235,0.6134560328373133,1.3765824317639537
3,50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7945993682460898,0.014976965372342508,0.05233661981046248,0.2802964376823563,0.5727089347901524
3,100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9162810395329716,0.006419906834430656,0.028805521813787083,0.13957654142512746,0.2748710968355447
3,100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8796893797735628,0.012708257530235441,0.0192192313677576,0.15320447190164935,0.3034750612213896
3,100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8281751719952597,0.0061219228811098805,0.43051000565780456,0.4915769623242784,1.0684783151002344
3,100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8334035703823629,0.003917592647942975,0.05211772671044794,0.23206600470645783,0.47262251468439187
3,250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9159104221656271,0.0032137087045798008,0.04363681603943998,0.13947016115822292,0.3078004534972086
