fold,labels_per_class,scarcity_seed,total_training_labels,representation,classifier,model,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
1,10,20260814,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.147796630859375,0.8677342426043757,0.8136439989162828,0.890585251351782,0.0593984357225481,0.0593984357225481,0.0270332104657016,0.2680782304282055,0.5180816773697522
1,10,20260814,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.279609441757202,0.5789885624320354,0.6645678677865077,0.7622168454774557,0.1497725145727042,0.1503764817843121,0.0445145086491432,0.5347213699464975,1.2234051617282076
1,10,20260815,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0618374347686767,0.6653460580312738,0.5973123814684368,0.8095789115658116,0.4650915325185389,0.4650915325185388,0.0964812387780328,0.8333802308694023,2.104602591095473
1,10,20260815,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8729755878448486,0.5930046120937283,0.603944730425359,0.742613485318259,0.1250078549897398,0.1240742609154711,0.0457636737058372,0.5647717383963511,1.321089569974535
1,10,20260815,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1500163078308105,0.8529539767734572,0.8302248713085885,0.8855565467862909,0.071780200677837,0.0717802006778371,0.0226457371673451,0.2513959988319215,0.4986214770289954
1,10,20260815,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.3083407878875732,0.6514013520144553,0.7521863993497697,0.7960488886179561,0.1181124404482447,0.1186275862352242,0.0350037686391914,0.4010108280653721,0.911024267481961
1,25,20260811,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0876028537750244,0.7173306669723767,0.6720238417772961,0.8403612648211509,0.4722220366366745,0.4722220366366745,0.0937000487951058,0.7284750268448333,1.714808382802215
1,25,20260811,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.1074388027191162,0.7053893364437395,0.7573448929829315,0.8371138972241943,0.0513949452813957,0.0522188751473913,0.027058355014551,0.3532150114781615,0.7607956780025769
1,25,20260811,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1568109989166259,0.8894955857218233,0.8724681658087239,0.9148485365591996,0.012387283642529,0.012387283642529,0.0144396310259211,0.1879347942582989,0.3561362602133138
1,25,20260811,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.597665786743164,0.7634847207581219,0.8184448658900028,0.8582273566655941,0.028921055143949,0.0290426024310473,0.0206825092631251,0.2698331868185212,0.562471461971523
1,25,20260812,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0830445289611816,0.732637236853723,0.7091845028447575,0.8363837957621101,0.5046762793971072,0.5046762793971075,0.0900976622455784,0.7199888306334754,1.6864322097533544
